protein1,protein2,combined_score
4932.Q0010,4932.Q0297,945
4932.Q0010,4932.Q0032,956
4932.Q0010,4932.Q0143,954
4932.Q0010,4932.Q0182,916
4932.Q0010,4932.Q0142,843
4932.Q0010,4932.Q0017,955
4932.Q0010,4932.Q0092,845
4932.Q0017,4932.Q0142,902
4932.Q0017,4932.Q0143,946
4932.Q0017,4932.Q0092,925
4932.Q0017,4932.Q0182,953
4932.Q0017,4932.Q0032,961
4932.Q0017,4932.Q0297,954
4932.Q0032,4932.Q0182,961
4932.Q0032,4932.Q0143,972
4932.Q0032,4932.Q0092,831
4932.Q0032,4932.Q0297,950
4932.Q0032,4932.Q0142,874
4932.Q0045,4932.YNR018W,999
4932.Q0045,4932.YGL226W,766
4932.Q0045,4932.YDR119W-A,987
4932.Q0045,4932.Q0075,976
4932.Q0045,4932.Q0105,999
4932.Q0045,4932.Q0065,869
4932.Q0045,4932.YMR014W,866
4932.Q0045,4932.YIL157C,895
4932.Q0045,4932.Q0115,977
4932.Q0045,4932.Q0055,837
4932.Q0045,4932.YGR222W,821
4932.Q0045,4932.YHR001W-A,992
4932.Q0045,4932.YPR191W,998
4932.Q0045,4932.YJL166W,997
4932.Q0045,4932.Q0060,958
4932.Q0045,4932.YGR150C,707
4932.Q0045,4932.YLR067C,982
4932.Q0045,4932.YML030W,996
4932.Q0045,4932.YKL192C,738
4932.Q0045,4932.YDR194C,795
4932.Q0045,4932.Q0050,939
4932.Q0045,4932.YDL067C,999
4932.Q0045,4932.Q0255,777
4932.Q0045,4932.Q0160,778
4932.Q0045,4932.YOR065W,999
4932.Q0045,4932.Q0080,938
4932.Q0045,4932.YML129C,943
4932.Q0045,4932.YEL039C,905
4932.Q0045,4932.Q0250,999
4932.Q0045,4932.YMR256C,999
4932.Q0045,4932.Q0275,999
4932.Q0045,4932.YGL191W,999
4932.Q0045,4932.YEL024W,999
4932.Q0045,4932.YMR244C-A,822
4932.Q0045,4932.YBL045C,999
4932.Q0045,4932.YLR395C,999
4932.Q0045,4932.YBL099W,777
4932.Q0045,4932.Q0120,989
4932.Q0045,4932.Q0070,905
4932.Q0045,4932.YGL187C,999
4932.Q0045,4932.Q0110,987
4932.Q0045,4932.YIL111W,999
4932.Q0045,4932.Q0140,981
4932.Q0045,4932.YER154W,743
4932.Q0045,4932.YHR051W,999
4932.Q0045,4932.YJL062W-A,954
4932.Q0045,4932.YPL132W,858
4932.Q0045,4932.YER141W,827
4932.Q0045,4932.YBR037C,723
4932.Q0045,4932.Q0085,997
4932.Q0045,4932.YJR048W,885
4932.Q0045,4932.YDL044C,805
4932.Q0045,4932.YLL041C,732
4932.Q0045,4932.YPL172C,855
4932.Q0045,4932.YDR529C,998
4932.Q0045,4932.YFR033C,988
4932.Q0045,4932.YLR163C,715
4932.Q0045,4932.YGR183C,997
4932.Q0045,4932.YNL052W,999
4932.Q0045,4932.YIR021W,758
4932.Q0045,4932.YLR203C,990
4932.Q0045,4932.YLR038C,999
4932.Q0045,4932.YGR112W,946
4932.Q0045,4932.Q0130,978
4932.Q0045,4932.YKL141W,716
4932.Q0050,4932.Q0120,937
4932.Q0050,4932.Q0075,991
4932.Q0050,4932.Q0070,913
4932.Q0050,4932.Q0105,941
4932.Q0050,4932.Q0110,990
4932.Q0050,4932.Q0065,949
4932.Q0050,4932.Q0115,931
4932.Q0050,4932.Q0055,888
4932.Q0050,4932.Q0060,947
4932.Q0050,4932.Q0085,921
4932.Q0050,4932.Q0160,806
4932.Q0050,4932.Q0250,826
4932.Q0050,4932.Q0130,833
4932.Q0050,4932.Q0275,872
4932.Q0055,4932.Q0085,897
4932.Q0055,4932.Q0130,848
4932.Q0055,4932.Q0070,947
4932.Q0055,4932.Q0120,981
4932.Q0055,4932.Q0110,974
4932.Q0055,4932.YDR194C,813
4932.Q0055,4932.Q0250,829
4932.Q0055,4932.Q0275,839
4932.Q0055,4932.Q0105,881
4932.Q0055,4932.Q0075,985
4932.Q0055,4932.Q0115,876
4932.Q0055,4932.Q0065,930
4932.Q0055,4932.Q0060,913
4932.Q0060,4932.Q0105,894
4932.Q0060,4932.Q0070,962
4932.Q0060,4932.Q0075,930
4932.Q0060,4932.Q0120,829
4932.Q0060,4932.Q0065,968
4932.Q0060,4932.Q0110,914
4932.Q0060,4932.Q0085,707
4932.Q0060,4932.Q0160,865
4932.Q0060,4932.Q0250,892
4932.Q0060,4932.Q0275,933
4932.Q0065,4932.Q0140,747
4932.Q0065,4932.YIL111W,768
4932.Q0065,4932.Q0110,975
4932.Q0065,4932.YHR051W,954
4932.Q0065,4932.YPL132W,715
4932.Q0065,4932.Q0120,975
4932.Q0065,4932.YGL187C,967
4932.Q0065,4932.Q0070,946
4932.Q0065,4932.YNL052W,768
4932.Q0065,4932.YGR183C,921
4932.Q0065,4932.Q0130,904
4932.Q0065,4932.YLR038C,931
4932.Q0065,4932.Q0085,978
4932.Q0065,4932.YPL172C,760
4932.Q0065,4932.YLL041C,733
4932.Q0065,4932.YJR048W,774
4932.Q0065,4932.YDR529C,935
4932.Q0065,4932.Q0115,940
4932.Q0065,4932.YMR014W,866
4932.Q0065,4932.YPR191W,940
4932.Q0065,4932.YNL310C,759
4932.Q0065,4932.YJL166W,875
4932.Q0065,4932.YGL226W,766
4932.Q0065,4932.Q0075,954
4932.Q0065,4932.Q0105,990
4932.Q0065,4932.YEL039C,775
4932.Q0065,4932.Q0250,999
4932.Q0065,4932.YLR395C,954
4932.Q0065,4932.YBL045C,856
4932.Q0065,4932.YEL024W,971
4932.Q0065,4932.YMR244C-A,756
4932.Q0065,4932.Q0275,998
4932.Q0065,4932.YGL191W,924
4932.Q0065,4932.YOR065W,963
4932.Q0065,4932.Q0160,970
4932.Q0065,4932.Q0080,705
4932.Q0070,4932.Q0085,954
4932.Q0070,4932.YPL172C,797
4932.Q0070,4932.YLL041C,732
4932.Q0070,4932.YJR048W,774
4932.Q0070,4932.YDR529C,916
4932.Q0070,4932.YGR183C,918
4932.Q0070,4932.YNL052W,768
4932.Q0070,4932.Q0130,879
4932.Q0070,4932.YLR038C,932
4932.Q0070,4932.Q0120,992
4932.Q0070,4932.YGL187C,968
4932.Q0070,4932.YIL111W,768
4932.Q0070,4932.Q0110,970
4932.Q0070,4932.YHR051W,955
4932.Q0070,4932.YPL132W,717
4932.Q0070,4932.YOR065W,963
4932.Q0070,4932.YEL039C,774
4932.Q0070,4932.Q0250,999
4932.Q0070,4932.YLR395C,954
4932.Q0070,4932.YMR244C-A,756
4932.Q0070,4932.YEL024W,971
4932.Q0070,4932.Q0275,997
4932.Q0070,4932.YGL191W,928
4932.Q0070,4932.YBL045C,855
4932.Q0070,4932.YGL226W,766
4932.Q0070,4932.Q0075,995
4932.Q0070,4932.Q0105,983
4932.Q0070,4932.YMR014W,866
4932.Q0070,4932.Q0115,988
4932.Q0070,4932.YPR191W,938
4932.Q0070,4932.YJL166W,871
4932.Q0075,4932.YJL166W,720
4932.Q0075,4932.YPR191W,729
